Alpha Power (Lv. 1)	オヤブンパワー Lv.1	우두머리 파워 Lv.1	头目力 Lv.1	頭目力 Lv.1
Alpha Power (Lv. 2)	オヤブンパワー Lv.2	우두머리 파워 Lv.2	头目力 Lv.2	頭目力 Lv.2
Alpha Power (Lv. 3)	オヤブンパワー Lv.3	우두머리 파워 Lv.3	头目力 Lv.3	頭目力 Lv.3
Sparkling Power: Normal (Lv. 1)	かがやきパワー：ノーマル Lv.1	반짝반짝 파워: 노말 Lv.1	闪耀力：一般 Lv.1	閃耀力：一般 Lv.1
Sparkling Power: Normal (Lv. 2)	かがやきパワー：ノーマル Lv.2	반짝반짝 파워: 노말 Lv.2	闪耀力：一般 Lv.2	閃耀力：一般 Lv.2
Sparkling Power: Normal (Lv. 3)	かがやきパワー：ノーマル Lv.3	반짝반짝 파워: 노말 Lv.3	闪耀力：一般 Lv.3	閃耀力：一般 Lv.3
Sparkling Power: Fire (Lv. 1)	かがやきパワー：ほのお Lv.1	반짝반짝 파워: 불꽃 Lv.1	闪耀力：火 Lv.1	閃耀力：火 Lv.1
Sparkling Power: Fire (Lv. 2)	かがやきパワー：ほのお Lv.2	반짝반짝 파워: 불꽃 Lv.2	闪耀力：火 Lv.2	閃耀力：火 Lv.2
Sparkling Power: Fire (Lv. 3)	かがやきパワー：ほのお Lv.3	반짝반짝 파워: 불꽃 Lv.3	闪耀力：火 Lv.3	閃耀力：火 Lv.3
Sparkling Power: Water (Lv. 1)	かがやきパワー：みず Lv.1	반짝반짝 파워: 물 Lv.1	闪耀力：水 Lv.1	閃耀力：水 Lv.1
Sparkling Power: Water (Lv. 2)	かがやきパワー：みず Lv.2	반짝반짝 파워: 물 Lv.2	闪耀力：水 Lv.2	閃耀力：水 Lv.2
Sparkling Power: Water (Lv. 3)	かがやきパワー：みず Lv.3	반짝반짝 파워: 물 Lv.3	闪耀力：水 Lv.3	閃耀力：水 Lv.3
Sparkling Power: Electric (Lv. 1)	かがやきパワー：でんき Lv.1	반짝반짝 파워: 전기 Lv.1	闪耀力：电 Lv.1	閃耀力：電 Lv.1
Sparkling Power: Electric (Lv. 2)	かがやきパワー：でんき Lv.2	반짝반짝 파워: 전기 Lv.2	闪耀力：电 Lv.2	閃耀力：電 Lv.2
Sparkling Power: Electric (Lv. 3)	かがやきパワー：でんき Lv.3	반짝반짝 파워: 전기 Lv.3	闪耀力：电 Lv.3	閃耀力：電 Lv.3
Sparkling Power: Grass (Lv. 1)	かがやきパワー：くさ Lv.1	반짝반짝 파워: 풀 Lv.1	闪耀力：草 Lv.1	閃耀力：草 Lv.1
Sparkling Power: Grass (Lv. 2)	かがやきパワー：くさ Lv.2	반짝반짝 파워: 풀 Lv.2	闪耀力：草 Lv.2	閃耀力：草 Lv.2
Sparkling Power: Grass (Lv. 3)	かがやきパワー：くさ Lv.3	반짝반짝 파워: 풀 Lv.3	闪耀力：草 Lv.3	閃耀力：草 Lv.3
Sparkling Power: Ice (Lv. 1)	かがやきパワー：こおり Lv.1	반짝반짝 파워: 얼음 Lv.1	闪耀力：冰 Lv.1	閃耀力：冰 Lv.1
Sparkling Power: Ice (Lv. 2)	かがやきパワー：こおり Lv.2	반짝반짝 파워: 얼음 Lv.2	闪耀力：冰 Lv.2	閃耀力：冰 Lv.2
Sparkling Power: Ice (Lv. 3)	かがやきパワー：こおり Lv.3	반짝반짝 파워: 얼음 Lv.3	闪耀力：冰 Lv.3	閃耀力：冰 Lv.3
Sparkling Power: Fighting (Lv. 1)	かがやきパワー：かくとう Lv.1	반짝반짝 파워: 격투 Lv.1	闪耀力：格斗 Lv.1	閃耀力：格鬥 Lv.1
Sparkling Power: Fighting (Lv. 2)	かがやきパワー：かくとう Lv.2	반짝반짝 파워: 격투 Lv.2	闪耀力：格斗 Lv.2	閃耀力：格鬥 Lv.2
Sparkling Power: Fighting (Lv. 3)	かがやきパワー：かくとう Lv.3	반짝반짝 파워: 격투 Lv.3	闪耀力：格斗 Lv.3	閃耀力：格鬥 Lv.3
Sparkling Power: Poison (Lv. 1)	かがやきパワー：どく Lv.1	반짝반짝 파워: 독 Lv.1	闪耀力：毒 Lv.1	閃耀力：毒 Lv.1
Sparkling Power: Poison (Lv. 2)	かがやきパワー：どく Lv.2	반짝반짝 파워: 독 Lv.2	闪耀力：毒 Lv.2	閃耀力：毒 Lv.2
Sparkling Power: Poison (Lv. 3)	かがやきパワー：どく Lv.3	반짝반짝 파워: 독 Lv.3	闪耀力：毒 Lv.3	閃耀力：毒 Lv.3
Sparkling Power: Ground (Lv. 1)	かがやきパワー：じめん Lv.1	반짝반짝 파워: 땅 Lv.1	闪耀力：地面 Lv.1	閃耀力：地面 Lv.1
Sparkling Power: Ground (Lv. 2)	かがやきパワー：じめん Lv.2	반짝반짝 파워: 땅 Lv.2	闪耀力：地面 Lv.2	閃耀力：地面 Lv.2
Sparkling Power: Ground (Lv. 3)	かがやきパワー：じめん Lv.3	반짝반짝 파워: 땅 Lv.3	闪耀力：地面 Lv.3	閃耀力：地面 Lv.3
Sparkling Power: Flying (Lv. 1)	かがやきパワー：ひこう Lv.1	반짝반짝 파워: 비행 Lv.1	闪耀力：飞行 Lv.1	閃耀力：飛行 Lv.1
Sparkling Power: Flying (Lv. 2)	かがやきパワー：ひこう Lv.2	반짝반짝 파워: 비행 Lv.2	闪耀力：飞行 Lv.2	閃耀力：飛行 Lv.2
Sparkling Power: Flying (Lv. 3)	かがやきパワー：ひこう Lv.3	반짝반짝 파워: 비행 Lv.3	闪耀力：飞行 Lv.3	閃耀力：飛行 Lv.3
Sparkling Power: Psychic (Lv. 1)	かがやきパワー：エスパー Lv.1	반짝반짝 파워: 에스퍼 Lv.1	闪耀力：超能力 Lv.1	閃耀力：超能力 Lv.1
Sparkling Power: Psychic (Lv. 2)	かがやきパワー：エスパー Lv.2	반짝반짝 파워: 에스퍼 Lv.2	闪耀力：超能力 Lv.2	閃耀力：超能力 Lv.2
Sparkling Power: Psychic (Lv. 3)	かがやきパワー：エスパー Lv.3	반짝반짝 파워: 에스퍼 Lv.3	闪耀力：超能力 Lv.3	閃耀力：超能力 Lv.3
Sparkling Power: Bug (Lv. 1)	かがやきパワー：むし Lv.1	반짝반짝 파워: 벌레 Lv.1	闪耀力：虫 Lv.1	閃耀力：蟲 Lv.1
Sparkling Power: Bug (Lv. 2)	かがやきパワー：むし Lv.2	반짝반짝 파워: 벌레 Lv.2	闪耀力：虫 Lv.2	閃耀力：蟲 Lv.2
Sparkling Power: Bug (Lv. 3)	かがやきパワー：むし Lv.3	반짝반짝 파워: 벌레 Lv.3	闪耀力：虫 Lv.3	閃耀力：蟲 Lv.3
Sparkling Power: Rock (Lv. 1)	かがやきパワー：いわ Lv.1	반짝반짝 파워: 바위 Lv.1	闪耀力：岩石 Lv.1	閃耀力：岩石 Lv.1
Sparkling Power: Rock (Lv. 2)	かがやきパワー：いわ Lv.2	반짝반짝 파워: 바위 Lv.2	闪耀力：岩石 Lv.2	閃耀力：岩石 Lv.2
Sparkling Power: Rock (Lv. 3)	かがやきパワー：いわ Lv.3	반짝반짝 파워: 바위 Lv.3	闪耀力：岩石 Lv.3	閃耀力：岩石 Lv.3
Sparkling Power: Ghost (Lv. 1)	かがやきパワー：ゴースト Lv.1	반짝반짝 파워: 고스트 Lv.1	闪耀力：幽灵 Lv.1	閃耀力：幽靈 Lv.1
Sparkling Power: Ghost (Lv. 2)	かがやきパワー：ゴースト Lv.2	반짝반짝 파워: 고스트 Lv.2	闪耀力：幽灵 Lv.2	閃耀力：幽靈 Lv.2
Sparkling Power: Ghost (Lv. 3)	かがやきパワー：ゴースト Lv.3	반짝반짝 파워: 고스트 Lv.3	闪耀力：幽灵 Lv.3	閃耀力：幽靈 Lv.3
Sparkling Power: Dragon (Lv. 1)	かがやきパワー：ドラゴン Lv.1	반짝반짝 파워: 드래곤 Lv.1	闪耀力：龙 Lv.1	閃耀力：龍 Lv.1
Sparkling Power: Dragon (Lv. 2)	かがやきパワー：ドラゴン Lv.2	반짝반짝 파워: 드래곤 Lv.2	闪耀力：龙 Lv.2	閃耀力：龍 Lv.2
Sparkling Power: Dragon (Lv. 3)	かがやきパワー：ドラゴン Lv.3	반짝반짝 파워: 드래곤 Lv.3	闪耀力：龙 Lv.3	閃耀力：龍 Lv.3
Sparkling Power: Dark (Lv. 1)	かがやきパワー：あく Lv.1	반짝반짝 파워: 악 Lv.1	闪耀力：恶 Lv.1	閃耀力：惡 Lv.1
Sparkling Power: Dark (Lv. 2)	かがやきパワー：あく Lv.2	반짝반짝 파워: 악 Lv.2	闪耀力：恶 Lv.2	閃耀力：惡 Lv.2
