Cheri Meringue Donut	クラボメレンゲ	樱子蛋白霜
Cheri Curry Donut	クラボカリー	樱子咖喱
Cheri Jam Donut	クラボコンフィ	樱子蜜饯
Cheri Chocolate Donut	クラボショコラ	樱子巧克力
Cheri Cream Donut	クラボクリーム	樱子奶油
Cheri Rainbow Donut	クラボミックス	樱子综合
Chesto Meringue Donut	カゴメレンゲ	零余蛋白霜
Chesto Curry Donut	カゴカリー	零余咖喱
Chesto Jam Donut	カゴコンフィ	零余蜜饯
Chesto Chocolate Donut	カゴショコラ	零余巧克力
Chesto Cream Donut	カゴクリーム	零余奶油
Chesto Rainbow Donut	カゴミックス	零余综合
Pecha Meringue Donut	モモンメレンゲ	桃桃蛋白霜
Pecha Curry Donut	モモンカリー	桃桃咖喱
Pecha Jam Donut	モモンコンフィ	桃桃蜜饯
Pecha Chocolate Donut	モモンショコラ	桃桃巧克力
Pecha Cream Donut	モモンクリーム	桃桃奶油
Pecha Rainbow Donut	モモンミックス	桃桃综合
Rawst Meringue Donut	チーゴメレンゲ	莓莓蛋白霜
Rawst Curry Donut	チーゴカリー	莓莓咖喱
Rawst Jam Donut	チーゴコンフィ	莓莓蜜饯
Rawst Chocolate Donut	チーゴショコラ	莓莓巧克力
Rawst Cream Donut	チーゴクリーム	莓莓奶油
Rawst Rainbow Donut	チーゴミックス	莓莓综合
Aspear Meringue Donut	ナナシメレンゲ	利木蛋白霜
Aspear Curry Donut	ナナシカリー	利木咖喱
Aspear Jam Donut	ナナシコンフィ	利木蜜饯
Aspear Chocolate Donut	ナナシショコラ	利木巧克力
Aspear Cream Donut	ナナシクリーム	利木奶油
Aspear Rainbow Donut	ナナシミックス	利木综合
Oran Meringue Donut	オレンメレンゲ	橙橙蛋白霜
Oran Curry Donut	オレンカリー	橙橙咖喱
Oran Jam Donut	オレンコンフィ	橙橙蜜饯
Oran Chocolate Donut	オレンショコラ	橙橙巧克力
Oran Cream Donut	オレンクリーム	橙橙奶油
Oran Rainbow Donut	オレンミックス	橙橙综合
Persim Meringue Donut	キーメレンゲ	柿仔蛋白霜
Persim Curry Donut	キーカリー	柿仔咖喱
Persim Jam Donut	キーコンフィ	柿仔蜜饯
Persim Chocolate Donut	キーショコラ	柿仔巧克力
Persim Cream Donut	キークリーム	柿仔奶油
Persim Rainbow Donut	キーミックス	柿仔综合
Lum Meringue Donut	ラムメレンゲ	木子蛋白霜
Lum Curry Donut	ラムカリー	木子咖喱
Lum Jam Donut	ラムコンフィ	木子蜜饯
Lum Chocolate Donut	ラムショコラ	木子巧克力
Lum Cream Donut	ラムクリーム	木子奶油
Lum Rainbow Donut	ラムミックス	木子综合
Sitrus Meringue Donut	オボンメレンゲ	文柚蛋白霜
Sitrus Curry Donut	オボンカリー	文柚咖喱
Sitrus Jam Donut	オボンコンフィ	文柚蜜饯
Sitrus Chocolate Donut	オボンショコラ	文柚巧克力
Sitrus Cream Donut	オボンクリーム	文柚奶油
Sitrus Rainbow Donut	オボンミックス	文柚综合
Pomeg Meringue Donut	ザロクメレンゲ	榴石蛋白霜
Pomeg Curry Donut	ザロクカリー	榴石咖喱
Pomeg Jam Donut	ザロクコンフィ	榴石蜜饯
Pomeg Chocolate Donut	ザロクショコラ	榴石巧克力
Pomeg Cream Donut	ザロククリーム	榴石奶油
Pomeg Rainbow Donut	ザロクミックス	榴石综合
Kelpsy Meringue Donut	ネコブメレンゲ	藻根蛋白霜
Kelpsy Curry Donut	ネコブカリー	藻根咖喱
Kelpsy Jam Donut	ネコブコンフィ	藻根蜜饯
Kelpsy Chocolate Donut	ネコブショコラ	藻根巧克力
Kelpsy Cream Donut	ネコブクリーム	藻根奶油
Kelpsy Rainbow Donut	ネコブミックス	藻根综合
Qualot Meringue Donut	タポルメレンゲ	比巴蛋白霜
Qualot Curry Donut	タポルカリー	比巴咖喱
Qualot Jam Donut	タポルコンフィ	比巴蜜饯
Qualot Chocolate Donut	タポルショコラ	比巴巧克力
Qualot Cream Donut	タポルクリーム	比巴奶油
Qualot Rainbow Donut	タポルミックス	比巴综合
Hondew Meringue Donut	ロメメレンゲ	哈密蛋白霜
Hondew Curry Donut	ロメカリー	哈密咖喱
Hondew Jam Donut	ロメコンフィ	哈密蜜饯
Hondew Chocolate Donut	ロメショコラ	哈密巧克力
Hondew Cream Donut	ロメクリーム	哈密奶油
Hondew Rainbow Donut	ロメミックス	哈密综合
Grepa Meringue Donut	ウブメレンゲ	萄葡蛋白霜
Grepa Curry Donut	ウブカリー	萄葡咖喱
Grepa Jam Donut	ウブコンフィ	萄葡蜜饯
Grepa Chocolate Donut	ウブショコラ	萄葡巧克力
Grepa Cream Donut	ウブクリーム	萄葡奶油
Grepa Rainbow Donut	ウブミックス	萄葡综合
Tamato Meringue Donut	マトマメレンゲ	茄番蛋白霜
Tamato Curry Donut	マトマカリー	茄番咖喱
Tamato Jam Donut	マトマコンフィ	茄番蜜饯
Tamato Chocolate Donut	マトマショコラ	茄番巧克力
Tamato Cream Donut	マトマクリーム	茄番奶油
Tamato Rainbow Donut	マトマミックス	茄番综合
Occa Meringue Donut	オッカメレンゲ	巧可蛋白霜
Occa Curry Donut	オッカカリー	巧可咖喱
Occa Jam Donut	オッカコンフィ	巧可蜜饯
Occa Chocolate Donut	オッカショコラ	巧可巧克力
Occa Cream Donut	オッカクリーム	巧可奶油
Occa Rainbow Donut	オッカミックス	巧可综合
Passho Meringue Donut	イトケメレンゲ	千香蛋白霜
Passho Curry Donut	イトケカリー	千香咖喱
Passho Jam Donut	イトケコンフィ	千香蜜饯
Passho Chocolate Donut	イトケショコラ	千香巧克力
Passho Cream Donut	イトケクリーム	千香奶油
Passho Rainbow Donut	イトケミックス	千香综合
Wacan Meringue Donut	ソクノメレンゲ	烛木蛋白霜
Wacan Curry Donut	ソクノカリー	烛木咖喱
Wacan Jam Donut	ソクノコンフィ	烛木蜜饯
Wacan Chocolate Donut	ソクノショコラ	烛木巧克力
Wacan Cream Donut	ソクノクリーム	烛木奶油
Wacan Rainbow Donut	ソクノミックス	烛木综合
Rindo Meringue Donut	リンドメレンゲ	罗子蛋白霜
Rindo Curry Donut	リンドカリー	罗子咖喱
Rindo Jam Donut	リンドコンフィ	罗子蜜饯
Rindo Chocolate Donut	リンドショコラ	罗子巧克力
Rindo Cream Donut	リンドクリーム	罗子奶油
Rindo Rainbow Donut	リンドミックス	罗子综合
Yache Meringue Donut	ヤチェメレンゲ	番荔蛋白霜
Yache Curry Donut	ヤチェカリー	番荔咖喱
Yache Jam Donut	ヤチェコンフィ	番荔蜜饯
Yache Chocolate Donut	ヤチェショコラ	番荔巧克力
Yache Cream Donut	ヤチェクリーム	番荔奶油
Yache Rainbow Donut	ヤチェミックス	番荔综合
Chople Meringue Donut	ヨプメレンゲ	莲蒲蛋白霜
Chople Curry Donut	ヨプカリー	莲蒲咖喱
Chople Jam Donut	ヨプコンフィ	莲蒲蜜饯
Chople Chocolate Donut	ヨプショコラ	莲蒲巧克力
Chople Cream Donut	ヨプクリーム	莲蒲奶油
Chople Rainbow Donut	ヨプミックス	莲蒲综合
Kebia Meringue Donut	ビアーメレンゲ	通通蛋白霜
Kebia Curry Donut	ビアーカリー	通通咖喱
Kebia Jam Donut	ビアーコンフィ	通通蜜饯
Kebia Chocolate Donut	ビアーショコラ	通通巧克力
Kebia Cream Donut	ビアークリーム	通通奶油
Kebia Rainbow Donut	ビアーミックス	通通综合
Shuca Meringue Donut	シュカメレンゲ	腰木蛋白霜
Shuca Curry Donut	シュカカリー	腰木咖喱
