名称	形态&样子	宝可梦形态	宝可梦ID	宝可梦形态ID	宝可梦编号	备注
妙蛙种子	无	妙蛙种子	0001	0000	1	
妙蛙草	无	妙蛙草	0002	0000	2	
妙蛙花	无	妙蛙花	0003	0000	3	
妙蛙花	超级妙蛙花	超级妙蛙花	0003	0001	3	
小火龙	无	小火龙	0004	0000	4	
火恐龙	无	火恐龙	0005	0000	5	
喷火龙	无	喷火龙	0006	0000	6	
喷火龙	超级喷火龙Ｘ	超级喷火龙Ｘ	0006	0001	6	
喷火龙	超级喷火龙Ｙ	超级喷火龙Ｙ	0006	0002	6	
杰尼龟	无	杰尼龟	0007	0000	7	
卡咪龟	无	卡咪龟	0008	0000	8	
水箭龟	无	水箭龟	0009	0000	9	
水箭龟	超级水箭龟	超级水箭龟	0009	0001	9	
独角虫	无	独角虫	000D	0000	13	
铁壳蛹	无	铁壳蛹	000E	0000	14	
大针蜂	无	大针蜂	000F	0000	15	
大针蜂	超级大针蜂	超级大针蜂	000F	0001	15	
波波	无	波波	0010	0000	16	
比比鸟	无	比比鸟	0011	0000	17	
大比鸟	无	大比鸟	0012	0000	18	
大比鸟	超级大比鸟	超级大比鸟	0012	0001	18	
阿柏蛇	无	阿柏蛇	0017	0000	23	
阿柏怪	无	阿柏怪	0018	0000	24	
皮卡丘	无	皮卡丘	0019	0000	25	
雷丘	无	雷丘	001A	0000	26	
雷丘	阿罗拉的样子	雷丘-阿罗拉的样子	001A	0001	26	
雷丘	超级雷丘Ｘ	超级雷丘Ｘ	001A	0002	26	2.0.0
雷丘	超级雷丘Ｙ	超级雷丘Ｙ	001A	0003	26	2.0.0
皮皮	无	皮皮	0023	0000	35	
皮可西	无	皮可西	0024	0000	36	
皮可西	超级皮可西	超级皮可西	0024	0001	36	
胖丁	无	胖丁	0027	0000	39	2.0.0
胖可丁	无	胖可丁	0028	0000	40	2.0.0
超音蝠	无	超音蝠	0029	0000	41	2.0.0
大嘴蝠	无	大嘴蝠	002A	0000	42	2.0.0
喵喵	无	喵喵	0034	0000	52	2.0.0
喵喵	阿罗拉的样子	喵喵-阿罗拉的样子	0034	0001	52	2.0.0
喵喵	伽勒尔的样子	喵喵-伽勒尔的样子	0034	0002	52	2.0.0
猫老大	无	猫老大	0035	0000	53	2.0.0
猫老大	阿罗拉的样子	猫老大-阿罗拉的样子	0035	0001	53	2.0.0
猴怪	无	猴怪	0038	0000	56	2.0.0
火暴猴	无	火暴猴	0039	0000	57	2.0.0
凯西	无	凯西	003F	0000	63	
勇基拉	无	勇基拉	0040	0000	64	
胡地	无	胡地	0041	0000	65	
胡地	超级胡地	超级胡地	0041	0001	65	
腕力	无	腕力	0042	0000	66	
豪力	无	豪力	0043	0000	67	
怪力	无	怪力	0044	0000	68	
喇叭芽	无	喇叭芽	0045	0000	69	
口呆花	无	口呆花	0046	0000	70	
大食花	无	大食花	0047	0000	71	
大食花	超级大食花	超级大食花	0047	0001	71	
呆呆兽	无	呆呆兽	004F	0000	79	
呆呆兽	伽勒尔的样子	呆呆兽-伽勒尔的样子	004F	0001	79	
呆壳兽	无	呆壳兽	0050	0000	80	
呆壳兽	伽勒尔的样子	呆壳兽-伽勒尔的样子	0050	0002	80	
